create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
48:26.0,1176.356,97391c4c-2d47-439e-b041-f3b2b95a6e33.achievement.json,1523,6000,1.58466E+12,1.4554096,VfS0qUERdZ,808264,com.sec.android.app.shealth,com.sec.android.app.shealth,15:39.7,1518,97391c4c-2d47-439e-b041-f3b2b95a6e33.binning_data.json,97391c4c-2d47-439e-b041-f3b2b95a6e33,53.617336,5,97391c4c-2d47-439e-b041-f3b2b95a6e33.source_info.json,0
09:37.6,1136.909,97e995f8-5ac4-4653-aa2e-37c3d8e02db0.achievement.json,1479,6000,1.59019E+12,2.3333333,eyB2V5o7BM,800641,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.6,1463,97e995f8-5ac4-4653-aa2e-37c3d8e02db0.binning_data.json,97e995f8-5ac4-4653-aa2e-37c3d8e02db0,51.77,16,,0
43:59.1,1096.1764,7c9f38bd-32bd-4b97-a9c0-91cf129372d4.achievement.json,1414,6000,1.58458E+12,1.4818366,VfS0qUERdZ,739741,com.sec.android.app.shealth,com.sec.android.app.shealth,48:26.3,1393,7c9f38bd-32bd-4b97-a9c0-91cf129372d4.binning_data.json,7c9f38bd-32bd-4b97-a9c0-91cf129372d4,51.48568,21,7c9f38bd-32bd-4b97-a9c0-91cf129372d4.source_info.json,0
09:37.7,222.18,d6d88e13-e667-4f86-b193-4502effbc3a4.achievement.json,286,6000,1.59011E+12,1.4848176,VfS0qUERdZ,149634,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.7,255,d6d88e13-e667-4f86-b193-4502effbc3a4.binning_data.json,d6d88e13-e667-4f86-b193-4502effbc3a4,10.9,31,d6d88e13-e667-4f86-b193-4502effbc3a4.source_info.json,0
40:51.8,913.48,1019f1ed-9b3e-4ebd-a52d-2433cd8ddf91.achievement.json,1178,6000,1.58501E+12,1.4720705,VfS0qUERdZ,620540,com.sec.android.app.shealth,com.sec.android.app.shealth,45:57.1,1157,1019f1ed-9b3e-4ebd-a52d-2433cd8ddf91.binning_data.json,1019f1ed-9b3e-4ebd-a52d-2433cd8ddf91,42.89,21,1019f1ed-9b3e-4ebd-a52d-2433cd8ddf91.source_info.json,0
40:51.7,11.97,2cda33f4-bfb9-410c-96c1-6b494bbbb97f.achievement.json,16,6000,1.58475E+12,1.3333333,eyB2V5o7BM,8977,com.sec.android.app.shealth,com.sec.android.app.shealth,40:51.7,16,2cda33f4-bfb9-410c-96c1-6b494bbbb97f.binning_data.json,2cda33f4-bfb9-410c-96c1-6b494bbbb97f,0.58,0,,0
17:42.1,5127.613,6f79f59a-b7e6-459e-8594-1f76eb0564b4.achievement.json,6554,6000,1.58397E+12,1.452347,VfS0qUERdZ,3530569,com.sec.android.app.shealth,com.sec.android.app.shealth,27:06.9,6458,6f79f59a-b7e6-459e-8594-1f76eb0564b4.binning_data.json,6f79f59a-b7e6-459e-8594-1f76eb0564b4,226.48578,96,6f79f59a-b7e6-459e-8594-1f76eb0564b4.source_info.json,0
23:22.4,550.208,1879a75f-1efb-4844-8f0f-82213c49f1b3.achievement.json,708,6000,1.59071E+12,1.4880362,VfS0qUERdZ,369754,com.sec.android.app.shealth,com.sec.android.app.shealth,01:47.0,693,1879a75f-1efb-4844-8f0f-82213c49f1b3.binning_data.json,1879a75f-1efb-4844-8f0f-82213c49f1b3,26.039366,15,1879a75f-1efb-4844-8f0f-82213c49f1b3.source_info.json,0
01:47.0,1079.8,8a82a720-5478-47bc-abfc-de07db412236.achievement.json,1393,6000,1.5908E+12,3.497204,eyB2V5o7BM,744704,com.sec.android.app.shealth,com.sec.android.app.shealth,51:08.8,1363,8a82a720-5478-47bc-abfc-de07db412236.binning_data.json,8a82a720-5478-47bc-abfc-de07db412236,48.78,30,,0
41:02.0,1107.17,23a4fee4-dc26-4646-8712-8b573acd7bb7.achievement.json,1449,6000,1.58484E+12,1.400008,VfS0qUERdZ,790831,com.sec.android.app.shealth,com.sec.android.app.shealth,41:02.0,1434,23a4fee4-dc26-4646-8712-8b573acd7bb7.binning_data.json,23a4fee4-dc26-4646-8712-8b573acd7bb7,53.41,15,23a4fee4-dc26-4646-8712-8b573acd7bb7.source_info.json,0
